latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-17.06404,126.58022,314.14,1.05,1.03,2024-06-27,0115,T,47,6.1NRT,299.33,7.38,D
-17.09407,126.59588,315.15,1.06,1.03,2024-06-27,0115,T,46,6.1NRT,300.92,7.93,D
-17.16261,127.03124,309.8,1.1,1.04,2024-06-27,0115,T,57,6.1NRT,298.63,5.36,D
-19.19164,133.40366,314.25,3.18,1.69,2024-06-27,0117,T,69,6.1NRT,296.35,46.26,D
-19.19452,133.43336,324.88,3.19,1.69,2024-06-27,0117,T,81,6.1NRT,296.83,98.13,D
-19.23361,133.52002,324.76,3.25,1.7,2024-06-27,0117,T,76,6.1NRT,296.93,90.56,D
-19.29495,133.53809,326.68,3.26,1.71,2024-06-27,0117,T,82,6.1NRT,295.21,111.11,D
-19.3345,133.62743,309.43,3.32,1.72,2024-06-27,0117,T,58,6.1NRT,295.88,30.74,D
-19.33131,133.62219,308.95,3.32,1.72,2024-06-27,0117,T,59,6.1NRT,296.08,29.26,D
-18.5563,125.14176,322.88,1,1,2024-06-27,0117,T,51,6.1NRT,301.8,12.95,D
-18.5652,125.14039,333.43,1,1,2024-06-27,0117,T,78,6.1NRT,301.17,25.19,D
-18.57411,125.13902,327.01,1,1,2024-06-27,0117,T,77,6.1NRT,299.78,18.43,D
-18.58168,125.12831,318.33,1,1,2024-06-27,0117,T,65,6.1NRT,299.98,10.55,D
-20.84484,128.01176,312.16,1.35,1.15,2024-06-27,0117,T,65,6.1NRT,297.37,10.52,D
-20.85356,127.99754,331.69,1.35,1.15,2024-06-27,0117,T,86,6.1NRT,297.87,41.93,D
-20.85511,128.01036,310.36,1.35,1.15,2024-06-27,0117,T,58,6.1NRT,297.02,8.26,D
-20.91261,127.56719,318.25,1.27,1.12,2024-06-27,0117,T,52,6.1NRT,297.64,15.56,D
-20.91412,127.57927,328.77,1.28,1.12,2024-06-27,0117,T,84,6.1NRT,298.74,31.81,D
-20.92108,127.55377,325.45,1.27,1.12,2024-06-27,0117,T,46,6.1NRT,297.55,24.33,D
-20.9226,127.56582,327.21,1.27,1.12,2024-06-27,0117,T,54,6.1NRT,298.09,26.8,D
-20.93259,127.5645,358.53,1.27,1.12,2024-06-27,0117,T,99,6.1NRT,301.19,108.39,D
-20.93412,127.57657,339.8,1.28,1.12,2024-06-27,0117,T,91,6.1NRT,298.75,51.99,D
-20.94641,127.51361,327.95,1.26,1.12,2024-06-27,0117,T,83,6.1NRT,297.28,30.83,D
-20.94795,127.52564,320.53,1.27,1.12,2024-06-27,0117,T,45,6.1NRT,296.52,17.69,D
-20.94752,127.51922,326.83,1.27,1.12,2024-06-27,0117,T,74,6.1NRT,297.27,27.24,D
-20.95749,127.51784,345.4,1.27,1.12,2024-06-27,0117,T,93,6.1NRT,298.73,67.45,D
-20.95897,127.5299,330.28,1.27,1.12,2024-06-27,0117,T,85,6.1NRT,298.06,32.76,D
-20.96745,127.51644,332.79,1.27,1.12,2024-06-27,0117,T,87,6.1NRT,296.88,40.06,D
-21.05347,127.71526,321.16,1.3,1.13,2024-06-27,0117,T,77,6.1NRT,297.4,22.44,D
